Name,Beginn,Ende,Ligasieg,Ligator,Pokalsieg,Pokaltor,Europasieg,Europator,Sonstigesieg,Sonstigetor,Gesamtsiege,Gesamttore
"Abda, Djebrane",2003,2004,18,1,1,0,0,0,0,0,19,1
"Abel, Hans-Joachim",1973,1974,6,1,1,0,1,0,0,0,8,1
"Abelski, Ben",2001,2007,18,1,3,0,0,0,0,0,21,1
"Abromeit, Willi",1939,1940,0,0,3,0,0,0,2,0,5,0
"Adams, Kasim",2019,2020,13,1,2,1,0,0,0,0,15,2
"Addo, Daniel",1998,2001,29,2,3,0,0,0,0,0,32,2
"Adewunmi, Yusuf-Muri",2006,2007,19,1,3,1,0,0,0,0,22,2
"Adiele, Echendu",1998,1998,1,0,0,0,0,0,0,0,1,0
"Adler, Thomas",1993,1994,25,11,1,0,0,0,6,0,32,11
"Ahlsen, Per Egil",1990,1991,11,0,2,0,0,0,0,0,13,0
"Aigner, Rainer",1991,1994,80,4,3,0,0,0,6,2,89,6
"Ajani, Marvin",2015,2015,1,0,0,0,0,0,0,0,1,0
"Akca, Kaan",2015,2015,1,0,0,0,0,0,0,0,1,0
"Akpoguma, Kevin",2015,2017,45,0,3,1,0,0,0,0,48,1
"Albertz, Jörg",1990,2007,109,11,4,1,0,0,0,0,113,12
"Albrecht, Ernst",1927,1941,0,0,22,5,0,0,36,7,58,12
"Allievi, Sergio",1993,1995,39,6,0,0,0,0,2,0,41,6
"Allofs, Klaus",1975,1981,169,71,31,18,17,4,0,0,217,93
"Allofs, Thomas",1978,1992,182,57,23,15,12,3,0,0,217,75
"Almer, Robert",2011,2012,13,0,0,0,0,0,0,0,13,0
"Ampomah, Nana",2019,2020,13,0,5,2,0,0,0,0,18,2
"Anagnostou, Chrissovalantis",1993,1994,1,0,0,0,0,0,0,0,1,0
"Andersen, Jørn",1990,1991,42,5,4,0,0,0,0,0,46,5
"Anderson, Bamba",2009,2010,32,3,1,0,0,0,0,0,33,3
"Anfang, Markus",1996,2008,80,3,6,0,0,0,0,0,86,3
"Aouadhi, Karim",2011,2011,1,0,0,0,0,0,0,0,1,0
"Appelkamp, Shinta",2020,aktiv,84,15,6,0,0,0,0,0,90,15
"Asaeda, Ken",2007,2007,1,0,2,0,0,0,0,0,3,0
"Avevor, Christopher",2014,2016,21,0,0,0,0,0,0,0,21,0
"Ayhan, Kaan",2016,2020,113,8,8,0,0,0,0,0,121,8
"Azzagudi, Majid",1993,1994,1,0,1,0,0,0,0,0,2,0
"Baah, Kwadwo",2022,2022,7,0,0,0,0,0,0,0,7,0
"Bach, Jörg",1995,1999,99,5,9,1,0,0,0,0,108,6
"Bach, Paul",1937,1939,0,0,4,0,0,0,8,0,12,0
"Backhaus, Sven",1987,1995,147,10,9,0,0,0,5,0,161,10
"Baffoe, Anthony",1989,1992,72,4,6,0,0,0,0,0,78,4
"Bahr, Thomas",1995,1995,1,0,0,0,0,0,0,0,1,0
"Baker, Lewis",2019,2019,8,0,1,0,0,0,0,0,9,0
"Balogun, Leon",2012,2014,28,0,2,0,0,0,0,0,30,0
"Baltes, Heiner",1970,1981,281,11,44,2,25,0,3,0,353,13
"Bancé, Aristide",2013,2014,16,2,0,0,0,0,0,0,16,2
"Bansemer, Günther",1979,1982,14,1,2,0,1,1,0,0,17,2
"Barkok, Aymen",2018,2020,15,0,3,0,0,0,0,0,18,0
"Barth, Oliver",2005,2007,44,1,2,0,0,0,0,0,46,1
"Bayer, Herbert",1956,1963,139,0,3,0,0,0,0,0,142,0
"Bayerer, Georg",1941,1941,0,0,2,0,0,0,0,0,2,0
"Bebou, Ihlas",2013,2017,70,11,4,1,0,0,0,0,74,12
"Beckers, Marc",1998,1999,11,0,0,0,0,0,0,0,11,0
"Beckfeld, Klaus",1964,1966,4,0,0,0,0,0,0,0,4,0
"Beczkowiak, Kurt",1950,1952,40,1,0,0,0,0,0,0,40,1
"Beeck, Christian",1997,1999,34,3,2,0,0,0,0,0,36,3
"Begerau, Robert",1970,1974,36,4,4,2,0,0,8,2,48,8
"Beiroth, Benno",1970,1972,3,0,3,0,0,0,4,0,10,0
"Beister, Maximilian",2010,2012,59,18,4,0,0,0,2,1,65,19
"Bellinghausen, Axel",2002,2017,211,16,15,1,0,0,0,0,226,17
"Bender, Jakob",1929,1940,0,0,13,0,0,0,30,0,43,0
"Benschop, Charlison",2013,2015,58,25,2,0,0,0,0,0,60,25
"Berisha, Valon",2020,2020,13,0,0,0,0,0,0,0,13,0
"Biesenkamp, Peter",1968,1975,120,13,13,1,1,0,7,3,141,17
"Bijev, Villyan",2012,2012,1,0,0,0,0,0,0,0,1,0
"Bilalovic, Samir",2000,2003,12,1,3,0,0,0,0,0,15,1
"Biskup, Werner",1965,1968,87,11,4,0,0,0,6,2,97,13
"Bitzer, Mirko",1999,2002,83,0,2,0,0,0,0,0,85,0
"Blättel, Michael",1986,1987,28,2,4,0,0,0,0,0,32,2
"Bless, Heinrich",1984,1984,3,0,0,0,0,0,0,0,3,0
"Block, Mario",1993,1994,4,0,0,0,0,0,0,0,4,0
"Bocchio, Víctor",2004,2005,22,2,4,2,0,0,0,0,26,4
"Bocian, Pavel",1997,1999,37,0,0,0,0,0,0,0,37,0
"Böckem, Egon",1947,1948,16,0,0,0,0,0,0,0,16,0
"Bockenfeld, Manfred",1981,1987,178,20,14,4,0,0,0,0,192,24
"Böcker, Dirk",2002,2006,114,5,12,1,0,0,0,0,126,6
"Böckle, Benjamin",2022,Leihe,6,0,1,0,0,0,0,0,7,0
"Bodzek, Adam",2011,2022,284,7,16,0,0,0,2,0,302,7
"Bogesits, René",2001,2001,10,0,0,0,0,0,0,0,10,0
"Bolly, Mathis",2013,2016,50,6,3,0,0,0,0,0,53,6
"Bomheuer, Dustin",2013,2015,27,0,1,0,0,0,0,0,28,0
"Bommer, Rudi",1976,1985,264,38,28,7,16,2,0,0,308,47
"Borkenhagen, Alfred",1947,1950,28,0,0,0,0,0,0,0,28,0
"Borkenhagen, Kurt",1947,1954,176,0,0,0,0,0,0,0,176,0
"Bormuth, Robin",2016,2019,56,3,4,0,0,0,0,0,60,3
"Bornefeld, Paul",1929,1941,0,0,8,0,0,0,28,0,36,0
"Borrello, Brandon",2020,2021,22,1,1,0,0,0,0,0,23,1
"Boženík, Róbert",2021,2022,20,2,1,0,0,0,0,0,21,2
"Boži?, Mile",2005,2005,6,1,0,0,0,0,0,0,6,1
Brandstätter,1941,1941,0,0,1,0,0,0,0,0,1,0
"Brdari?, Thomas",1994,1996,30,1,2,0,0,0,0,0,32,1
"Brecht, Alfred",1967,1968,8,4,0,0,0,0,0,0,8,4
"Breda, David",2000,2002,40,2,0,0,0,0,0,0,40,2
"Breetveld, Virgil",1999,1999,12,0,2,0,0,0,0,0,14,0
"Brei, Dieter",1973,1980,221,30,27,12,21,3,0,0,269,45
"Breitzke, Günter",1992,1993,27,7,2,0,0,0,0,0,29,7
"Breuer, Theo",1927,1937,0,0,5,0,0,0,11,0,16,0
"Brøgger, Lars",1991,1993,25,2,1,0,0,0,0,0,26,2
"Broich, Helmut",1938,1938,0,0,0,0,0,0,2,1,2,1
"Bröker, Thomas",2010,2012,56,13,3,1,0,0,2,1,61,15
"Brücken, Helmut",1968,1970,49,1,0,0,0,0,0,0,49,1
"Brücken, Karl-Heinz",1974,1975,10,0,5,0,3,1,0,0,18,1
"Brüll, Bernhard",1935,1935,0,0,1,0,0,0,0,0,1,0
"Bruns, Hans-Günter",1979,1980,15,0,2,0,0,0,0,0,17,0
"Büchel, Michael",1948,1948,1,0,0,0,0,0,0,0,1,0
"Bücher, Oliver",1980,1982,22,0,0,0,0,0,0,0,22,0
"Budde, Klaus",1968,1975,209,59,20,8,10,1,8,2,247,70
"Budde, Rainer",1966,1967,8,1,2,0,0,0,0,0,10,1
"Bulykin, Dmitri",2009,2010,10,1,1,0,0,0,0,0,11,1
"Buncol, Andrzej",1992,1996,119,16,8,1,0,0,6,1,133,18
"Bunk, Daniel",2022,aktiv,1,0,1,0,0,0,0,0,2,0
"Büns, Kurt",1972,1976,35,0,8,0,6,0,0,0,49,0
"Bunte, Michael",1984,1986,54,0,5,0,0,0,0,0,59,0
"Bürk, Gerrit",2003,2005,48,1,6,0,0,0,0,0,54,1
"Busch, Gerhard",1976,1977,5,0,0,0,0,0,0,0,5,0
"Büskens, Mike",1989,1992,102,6,8,1,0,0,0,0,110,7
"Butkovi?, Ladislav",1958,1958,1,0,0,0,0,0,0,0,1,0
"Caillas, Olivier",2008,2010,62,3,4,1,0,0,0,0,66,4
"Çak?r, Hamza",2004,2010,142,4,12,1,0,0,0,0,154,5
"Canale, Giuseppe",2005,2007,48,3,2,1,0,0,0,0,50,4
"Carracedo, Marcelo",1990,1992,46,2,2,0,0,0,0,0,48,2
"Cartus, Daniel",1998,2000,49,8,5,0,0,0,0,0,54,8
"Caspari, Christoph[1]",2007,2007,0,0,1,0,0,0,0,0,1,0
"Cebe, Ahmet",2005,2009,128,18,12,3,0,0,0,0,140,21
Cha Du-Ri,2012,2012,10,0,1,0,0,0,0,0,11,0
"Chaloupka, Pavel",1989,1990,37,9,4,1,0,0,0,0,41,10
"Christ, Marco",2007,2011,96,18,7,0,0,0,0,0,103,18
"Chylla, Christoph",2002,2003,18,3,2,0,0,0,0,0,20,3
"Contento, Diego",2018,2018,0,0,1,0,0,0,0,0,1,0
"Costa, Claus",2006,2011,114,2,6,4,0,0,0,0,120,6
"?upr, Martin",2000,2002,42,2,0,0,0,0,0,0,42,2
"Cuskarevski, Tose",2002,2002,2,0,0,0,0,0,0,0,2,0
"Custos, Bruno",2008,2009,6,0,0,0,0,0,0,0,6,0
"Cyron, Richard",1992,1997,131,47,6,1,0,0,6,3,143,51
"Czaika, Edmund",1935,1941,0,0,15,0,0,0,24,0,39,0
"Czajor, Gabriel",2006,2006,1,0,1,0,0,0,0,0,2,0
"Czernotzky, Peter",1974,1976,34,0,7,0,4,1,0,0,45,1
"Czoske, Jürgen",1971,1971,0,0,0,0,0,0,1,0,1,0
"Daniel, Jörg",1977,1981,112,0,23,0,13,0,0,0,148,0
"Danso, Kevin",2020,2021,32,2,1,0,0,0,0,0,33,2
"Dasbach, Horst",1948,1950,10,2,0,0,0,0,0,0,10,2
"Dauber, Stefan",1982,1983,3,0,0,0,0,0,0,0,3,0
"de Cock, Olivier",2007,2008,18,0,3,0,0,0,0,0,21,0
"de Wijs, Jordy",2022,aktiv,34,4,1,0,0,0,0,0,35,4
"Degen, Horst-Franz",1974,1976,12,0,2,0,1,0,0,0,15,0
"Degen, Jürgen",1992,1993,24,2,2,1,0,0,0,0,26,3
"Degens, Erich",1927,1927,0,0,0,0,0,0,1,0,1,0
"Del’Haye, Karl",1985,1987,23,0,2,0,0,0,0,0,25,0
"Delvos, Karl",1952,1953,1,0,0,0,0,0,0,0,1,0
"Demandt, Sven",1984,1992,182,70,13,2,0,0,0,0,195,72
"Demirbay, Kerem",2015,2016,25,10,1,1,0,0,0,0,26,11
"Demirci, ?enol",1999,2000,8,1,0,0,0,0,0,0,8,1
"Deppe, Karl",1936,1939,0,0,1,0,0,0,1,0,2,0
"Derwall, Jupp",1954,1959,110,47,3,1,0,0,0,0,113,48
"Deuß, Patrick",2002,2007,105,0,8,0,0,0,0,0,113,0
"Diederich, Fritz",1957,1957,14,0,0,0,0,0,0,0,14,0
"Diergardt, Volker",1980,1980,1,0,0,0,0,0,0,0,1,0
"Dignaß, Uwe",1989,1989,1,0,0,0,0,0,0,0,1,0
"Djurdji?, Nikola",2016,2016,12,2,0,0,0,0,0,0,12,2
"Dobrovolski, Igor",1996,1999,54,14,4,1,0,0,0,0,58,15
"Donkor, Frederick[1]",2007,2007,0,0,1,0,0,0,0,0,1,0
"Draži?, Darko",1991,1997,152,14,8,2,0,0,6,1,166,17
"Dreher, Horst",1979,1982,23,0,5,0,0,0,0,0,28,0
"Drobný, Jaroslav",2019,2019,2,0,1,0,0,0,0,0,3,0
"Ducksch, Marvin",2018,2019,16,1,3,3,0,0,0,0,19,4
"Düllmann, Heinz",1952,1953,18,3,0,0,0,0,0,0,18,3
"Dum, Sascha",2010,2012,45,1,4,0,0,0,0,0,49,1
"Duman, Taylan",2016,2016,1,0,0,0,0,0,0,0,1,0
"Dusend, Ralf",1978,1987,239,40,27,5,7,3,0,0,273,48
"Dybek, Arnold",1998,1999,28,0,1,0,0,0,0,0,29,0
"Džafi?, Asmir",2000,2001,40,3,0,0,0,0,0,0,40,3
"Dziwior, Janosch",2003,2003,1,0,0,0,0,0,0,0,1,0
"Ebi-Taubmann, Samuel",2001,2002,8,0,0,0,0,0,0,0,8,0
"Eðvaldsson, Atli",1981,1985,122,38,7,1,0,0,0,0,129,39
"Emmerling, Stefan",2001,2001,21,3,0,0,0,0,0,0,21,3
"Engelhardt, Yannik",2023,aktiv,2,0,1,0,0,0,0,0,3,0
"Eraslan, Erdal",2005,2007,30,0,4,0,0,0,0,0,34,0
"Erat, Tu?rul",2013,2015,34,2,0,0,0,0,0,0,34,2
"Erwig, Christian",2007,2008,30,2,5,2,0,0,0,0,35,4
"Esser, Pierre",1994,1996,2,0,1,0,0,0,0,0,3,0
"Eyüboglu, Emrah",2002,2004,33,1,5,0,0,0,0,0,38,1
"Fach, Holger",1981,1998,198,26,11,2,0,0,0,0,209,28
"Fahrian, Wolfgang",1967,1969,64,0,0,0,0,0,0,0,64,0
"Fährmann, Christian",2001,2001,12,1,0,0,0,0,0,0,12,1
"Fandel, Hans",1950,1955,97,10,0,0,0,0,0,0,97,10
"Fanz, Reinhold",1977,1979,34,2,8,0,7,2,0,0,49,4
"Feinbier, Marcus",2005,2007,53,24,2,1,0,0,0,0,55,25
"Ferati, Arianit",2016,2017,13,1,1,0,0,0,0,0,14,1
"Fernandes Neto, Elione",2022,2023,12,0,1,0,0,0,0,0,13,0
"Fink, Oliver",2009,2020,257,21,14,3,0,0,2,0,273,24
"Fleer, Jürgen",1984,1984,12,2,1,0,0,0,0,0,13,2
"Fomitschow, André",2012,2012,1,0,0,0,0,0,0,0,1,0
"Franke, Bernd",1971,1971,29,0,1,0,0,0,5,0,35,0
"Fregene, Augustine",1999,2004,61,0,7,0,0,0,0,0,68,0
"Fritsch, Hans-Jürgen",1963,1965,29,0,0,0,0,0,0,0,29,0
"Fröhlich, Gert",1964,1965,7,2,0,0,0,0,0,0,7,2
"Fuchs, Uwe",1989,1990,25,7,4,2,0,0,0,0,29,9
"Furuholm, Timo",2012,2012,9,0,0,0,0,0,0,0,9,0
"Gabriel, Rudi",1948,1948,3,0,0,0,0,0,0,0,3,0
"Galakos, Maik",1972,1973,2,0,2,0,0,0,0,0,4,0
"Gamgoum, Iteb",2000,2000,1,0,0,0,0,0,0,0,1,0
"Garatwa, Karl",1952,1952,1,0,0,0,0,0,0,0,1,0
"Garbuschewski, Ronny",2012,2012,7,0,2,0,0,0,0,0,9,0
"Gartner, Christian",2013,2017,49,2,2,0,0,0,0,0,51,2
"Gärtner, Harald",1992,1993,39,0,2,0,0,0,0,0,41,0
"Gärtner, Manfred",1964,1965,10,0,0,0,0,0,0,0,10,0
"Gaspers, Josef",1929,1929,0,0,0,0,0,0,1,0,1,0
"Gassen, Hans",1948,1949,15,4,0,0,0,0,0,0,15,4
"Gaus, Marcel",2008,2011,40,5,3,1,0,0,0,0,43,6
"Gavory, Nicolas",2022,aktiv,32,1,3,0,0,0,0,0,35,1
"Geerkens, Tom",2022,2023,3,0,0,0,0,0,0,0,3,0
"Gensch, Oliver",1989,1989,0,0,1,0,0,0,0,0,1,0
"Gensler, Andreas",1999,2000,22,1,0,0,0,0,0,0,22,1
"Gerhardt, Waldemar",1965,1969,92,42,4,2,0,0,6,3,102,47
"Gesell, Josef",1947,1950,42,0,0,0,0,0,0,0,42,0
"Geye, Reiner",1968,1977,286,116,29,9,11,2,8,2,334,129
"Gianniotas, Giannis",2013,2013,8,1,0,0,0,0,0,0,8,1
"Giefer, Fabian",2012,2014,64,0,4,0,0,0,0,0,68,0
"Gießelmann, Niko",2017,2020,88,4,7,0,0,0,0,0,95,4
"Ginczek, Daniel",2022,aktiv,36,8,3,2,0,0,0,0,39,10
"Giskes, Karl-Heinz",1962,1962,1,0,0,0,0,0,0,0,1,0
"Glar, Willy",1948,1948,1,0,0,0,0,0,0,0,1,0
"Glavaš, Vlatko",1993,1996,95,14,7,0,0,0,5,3,107,17
"Glowacki, Paul",1940,1940,0,0,3,0,0,0,3,0,6,0
"Gökbayrak, Ahmet[2]",2004,2004,0,0,2,0,0,0,0,0,2,0
"Golley, Timm",2014,2014,10,1,0,0,0,0,0,0,10,1
"Golombek, Andreas",1996,1996,3,0,0,0,0,0,0,0,3,0
"Golsch, Karlheinz",1950,1954,11,1,0,0,0,0,0,0,11,1
"Gores, Rudi",1982,1983,15,1,2,0,0,0,0,0,17,1
"Görtz, Albert",1957,1966,172,0,7,0,0,0,0,0,179,0
"Gottschall, Karl",1927,1929,0,0,0,0,0,0,2,0,2,0
"Götzinger, August",1927,1929,0,0,0,0,0,0,2,0,2,0
"Grabotin, Dietmar",1984,1987,36,0,1,0,0,0,0,0,37,0
"Graf, Helmut",1969,1970,13,2,0,0,0,0,0,0,13,2
"Gramminger, Karl",1952,1958,156,81,3,1,0,0,0,0,159,82
"Gramminger, Martin",1952,1958,146,49,3,0,0,0,0,0,149,49
"Greiner, Uwe",1984,1985,42,0,3,0,0,0,0,0,45,0
"Grimaldi, Adriano",2011,2011,7,1,2,0,0,0,0,0,9,1
"Gronen, Herbert",1971,1972,20,1,3,0,0,0,0,0,23,1
"Gühler, Rudi",1939,1941,0,0,9,4,0,0,6,7,15,11
"Gül, Gökhan",2017,2017,1,0,0,0,0,0,0,0,1,0
"Gümüstas, Murat",2004,2005,5,0,0,0,0,0,0,0,5,0
"Günther, Emanuel",1978,1979,13,4,2,2,4,2,0,0,19,8
"Günther, Walter",1949,1949,1,0,0,0,0,0,0,0,1,0
"Guthleber, Laurent",2004,2005,12,0,2,0,0,0,0,0,14,0
"Häfner, Horst",1963,1967,114,9,2,0,0,0,5,0,121,9
"Hägele, Hans",1970,1971,3,0,0,0,0,0,0,0,3,0
"Hagemes, Uwe",1992,1992,3,0,1,0,0,0,0,0,4,0
"Haggui, Karim",2015,2016,29,1,1,0,0,0,0,0,30,1
"Hahnen, Gerhard",1939,1939,0,0,0,0,0,0,1,0,1,0
